indel_size	fq
-53	1
-52	8
-51	46
-50	6
-49	1
-48	4
-47	0
-46	16
-45	17
-44	18
-43	10
-42	47
-41	25
-40	7
-39	103
-38	39
-37	53
-36	103
-35	42
-34	13
-33	44
-32	19
-31	39
-30	204
-29	42
-28	28
-27	37
-26	18
-25	58
-24	481
-23	145
-22	149
-21	171
-20	107
-19	149
-18	243
-17	202
-16	276
-15	77
-14	167
-13	339
-12	206
-11	771
-10	166
-9	419
-8	623
-7	293
-6	208
-5	5219
-4	594
-3	452
-2	1055
-1	1295
0	6365
1	2038
2	145
3	193
4	78
5	56
6	151
7	77
8	40
9	26
10	75
11	36
12	27
13	34
14	44
15	21
16	14
17	9
18	27
19	21
20	6
21	11
22	9
23	6
24	4
25	5
26	6
27	10
28	6
29	1
30	0
31	3
32	5
33	4
34	33
35	4
36	5
37	3
38	1
39	0
40	2
41	0
42	3
43	1
44	3
45	2
46	1
47	0
48	0
49	0
50	0
51	0
52	0
53	2
54	0
55	0
56	0
57	0
58	1
59	2
60	0
61	0
62	0
63	2
64	0
65	0
66	0
67	1
68	0
69	0
70	1
71	0
72	1
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	1
85	1
