# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	2.941416782416864106e-01
17	5.719421521366124805e-02
18	2.451180652014053538e-02
19	1.593267423809134609e-01
20	2.859710760683062403e-02
21	3.268240869352070921e-02
22	1.143884304273224961e-01
23	8.170602173380177302e-03
24	4.085301086690089345e-02
25	7.353541956042160266e-02
26	5.719421521366124805e-02
27	1.674973445542936590e-01
28	1.103031293406324109e-01
29	8.170602173380178690e-02
30	1.593267423809134609e-01
31	1.838385489010539997e-01
32	1.715826456409837442e-01
33	3.063975815017566662e-01
34	2.451180652014053329e-01
35	2.287768608546449922e-01
36	2.859710760683062403e-01
37	2.696298717215458995e-01
38	2.655445706348558144e-01
39	2.737151728082359847e-01
40	2.859710760683062403e-01
41	2.941416782416864106e-01
42	4.575537217092899844e-01
43	4.943214314895007511e-01
44	4.902361304028106659e-01
45	4.984067325761908918e-01
46	5.556009477898521398e-01
47	5.923686575700629620e-01
48	6.495628727837241545e-01
49	7.108423890840754877e-01
50	1.045837078192662695e+00
51	1.025410572759212435e+00
52	1.499305498815262760e+00
53	1.495220197728572620e+00
54	1.658632241196176249e+00
55	1.981371027044693145e+00
56	2.169294877032437174e+00
57	2.112100661818776093e+00
58	2.618677996568346877e+00
59	2.876051965029822632e+00
60	3.076231718277636862e+00
61	3.876950731268894668e+00
62	4.416210474711986578e+00
63	5.004493831195358844e+00
64	5.645886101805703383e+00
65	5.556009477898521176e+00
66	5.833809951793447190e+00
67	9.845575618923113836e+00
68	1.035215295367268595e+01
69	1.206797941008252373e+01
70	1.527902606422093257e+01
71	1.642699566958084745e+01
72	1.793447177056949116e+01
73	2.081869433777269407e+01
74	2.387858485170357170e+01
75	2.661982188087262102e+01
76	2.949178854481575129e+01
77	3.613857341286053071e+01
78	5.369719748345453070e+01
79	6.018465560911839418e+01
80	5.221831849007271842e+01
81	4.044448075823188304e+01
82	3.625296184328784932e+01
83	1.442928343818939396e+01
84	1.392270610343982362e+01
85	1.285644251981370978e+01
86	9.567775145028187822e+00
87	8.795653239643762333e+00
88	6.895988234332870448e+00
89	6.422093308276820345e+00
90	6.021733801781190998e+00
91	3.754391698668191779e+00
92	3.435738213906364802e+00
93	3.550126644333687409e+00
94	2.810687147642781269e+00
95	2.516545469401094692e+00
96	2.418498243320532648e+00
97	1.928262112917721982e+00
98	1.593267423809134664e+00
99	1.646376337936105827e+00
100	1.503390799901952679e+00
101	1.364490562954489672e+00
102	1.041751777105972776e+00
103	9.518751531987907910e-01
104	1.070348884712803317e+00
105	7.598660021243565099e-01
106	7.435247977775961692e-01
107	7.762072064711169617e-01
108	6.087098619168233027e-01
109	6.536481738704142952e-01
110	5.596862488765421695e-01
111	4.085301086690089067e-01
112	3.799330010621782550e-01
113	2.982269793283764958e-01
114	3.962742054089386512e-01
115	2.124356565078846237e-01
116	1.838385489010539997e-01
117	1.062178282539423119e-01
118	7.762072064711168784e-02
119	2.859710760683062403e-02
120	0.000000000000000000e+00
121	0.000000000000000000e+00
122	0.000000000000000000e+00
123	0.000000000000000000e+00
124	0.000000000000000000e+00
125	0.000000000000000000e+00
126	0.000000000000000000e+00
127	0.000000000000000000e+00
128	0.000000000000000000e+00
129	0.000000000000000000e+00
130	0.000000000000000000e+00
131	0.000000000000000000e+00
132	0.000000000000000000e+00
133	0.000000000000000000e+00
