# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	1.225590326007026769e-02
17	0.000000000000000000e+00
18	4.085301086690088651e-03
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	8.170602173380177302e-03
22	4.085301086690088651e-03
23	4.085301086690088651e-03
24	1.634120434676035460e-02
25	2.451180652014053538e-02
26	3.268240869352070921e-02
27	3.268240869352070921e-02
28	2.859710760683062403e-02
29	3.268240869352070921e-02
30	1.348149358607729498e-01
31	1.389002369474630350e-01
32	1.470708391208432053e-01
33	1.470708391208432053e-01
34	1.634120434676035738e-01
35	1.593267423809134609e-01
36	2.410327641147152478e-01
37	2.165209575945747089e-01
38	2.206062586812648219e-01
39	2.246915597679549070e-01
40	2.328621619413350774e-01
41	2.451180652014053329e-01
42	4.003595064956287364e-01
43	4.371272162758395030e-01
44	4.412125173625296437e-01
45	4.452978184492197289e-01
46	4.616390227959800696e-01
47	5.760274532233025102e-01
48	5.719421521366124805e-01
49	6.209657651768935027e-01
50	8.497426260315384949e-01
51	9.232780455919601392e-01
52	1.393087670561320435e+00
53	1.413514175994770916e+00
54	1.564670316202304123e+00
55	1.907835607484271501e+00
56	1.960944521611242664e+00
57	2.026309338998284026e+00
58	2.496118963967644433e+00
59	2.737151728082359625e+00
60	2.912819674810033455e+00
61	3.705368085627910979e+00
62	4.265054334504452704e+00
63	4.759375765993953955e+00
64	5.388512133344227628e+00
65	5.339488520303946828e+00
66	5.523327069205000051e+00
67	9.539178037421358169e+00
68	9.829234414576355050e+00
69	1.159408448402647274e+01
70	1.467848680447749032e+01
71	1.574883568919029386e+01
72	1.721137347822534380e+01
73	1.933573004330419209e+01
74	2.200343165291281977e+01
75	2.396437617452406244e+01
76	2.726121415148296379e+01
77	2.871149603725794464e+01
78	4.563689843941498481e+01
79	5.107034888471279999e+01
80	4.369229512215050448e+01
81	3.958248222894027180e+01
82	3.561974017485088950e+01
83	1.412697115777432799e+01
84	1.359996731759130562e+01
85	1.245608301331808221e+01
86	9.110221423318899170e+00
87	8.611814690742708223e+00
88	6.732576190865266597e+00
89	6.181060544162105153e+00
90	5.874662962660347709e+00
91	3.570553149767137668e+00
92	3.284582073698831817e+00
93	3.239643761745240713e+00
94	2.749407631342430047e+00
95	2.418498243320532648e+00
96	2.246915597679548959e+00
97	1.883323800964131101e+00
98	1.531987907508783442e+00
99	1.527902606422093301e+00
100	1.339978756434349272e+00
101	1.229675627093716805e+00
102	9.355339488520303393e-01
103	8.701691314649889764e-01
104	8.415720238581583246e-01
105	7.190129912574556581e-01
106	6.822452814772448360e-01
107	7.067570879973854581e-01
108	4.820655282294304955e-01
109	4.289566141024593326e-01
110	3.799330010621782550e-01
111	3.554211945420377439e-01
112	3.390799901952774031e-01
113	2.532886673747855033e-01
114	2.655445706348558144e-01
115	1.797532478143639145e-01
116	1.511561402075332905e-01
117	5.719421521366124805e-02
118	4.902361304028107075e-02
119	2.859710760683062403e-02
120	0.000000000000000000e+00
121	0.000000000000000000e+00
122	0.000000000000000000e+00
123	0.000000000000000000e+00
124	0.000000000000000000e+00
125	0.000000000000000000e+00
126	0.000000000000000000e+00
127	0.000000000000000000e+00
128	0.000000000000000000e+00
129	0.000000000000000000e+00
130	0.000000000000000000e+00
131	0.000000000000000000e+00
132	0.000000000000000000e+00
133	0.000000000000000000e+00
