# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	2.614592695481656737e-01
17	3.676770978021080133e-02
18	2.042650543345044672e-02
19	1.593267423809134609e-01
20	2.859710760683062403e-02
21	2.451180652014053538e-02
22	1.103031293406324109e-01
23	4.085301086690088651e-03
24	2.042650543345044672e-02
25	4.493831195359097863e-02
26	2.451180652014053538e-02
27	1.348149358607729498e-01
28	8.170602173380178690e-02
29	4.902361304028107075e-02
30	2.042650543345044672e-02
31	4.085301086690089345e-02
32	2.451180652014053538e-02
33	1.552414412942233757e-01
34	7.762072064711168784e-02
35	6.945011847373151748e-02
36	4.493831195359097863e-02
37	5.310891412697115593e-02
38	4.493831195359097863e-02
39	4.902361304028107075e-02
40	4.902361304028107075e-02
41	4.493831195359097863e-02
42	4.493831195359097863e-02
43	4.493831195359097863e-02
44	4.902361304028107075e-02
45	5.310891412697115593e-02
46	9.396192499387204244e-02
47	1.634120434676035460e-02
48	7.762072064711168784e-02
49	7.762072064711168784e-02
50	1.389002369474630350e-01
51	5.719421521366124805e-02
52	8.170602173380178690e-02
53	5.310891412697115593e-02
54	8.579132282049187208e-02
55	6.945011847373151748e-02
56	2.042650543345044534e-01
57	8.170602173380178690e-02
58	1.225590326007026665e-01
59	1.389002369474630350e-01
60	1.511561402075332905e-01
61	1.348149358607729498e-01
62	9.804722608056214150e-02
63	2.165209575945747089e-01
64	2.573739684614755885e-01
65	1.838385489010539997e-01
66	2.124356565078846237e-01
67	2.369474630280251626e-01
68	4.943214314895007511e-01
69	4.371272162758395030e-01
70	5.678568510499223398e-01
71	6.291363673502736731e-01
72	5.515156467031619991e-01
73	1.299125745567448309e+00
74	1.536073208595473583e+00
75	2.091674156385325389e+00
76	1.634120434676035627e+00
77	3.427567611732984521e+00
78	3.738050494321431660e+00
79	9.723016586322411614e-01
80	8.865103358117493171e-01
81	6.454775716970341248e-01
82	5.433450445297818288e-01
83	2.328621619413350774e-01
84	2.165209575945747089e-01
85	2.982269793283764958e-01
86	3.145681836751368365e-01
87	8.170602173380178690e-02
88	1.552414412942233757e-01
89	2.206062586812648219e-01
90	1.348149358607729498e-01
91	1.756679467276738293e-01
92	1.429855380341531201e-01
93	3.104828825884467514e-01
94	6.127951630035133324e-02
95	6.945011847373151748e-02
96	1.429855380341531201e-01
97	4.085301086690089345e-02
98	4.902361304028107075e-02
99	6.536481738704141842e-02
100	9.804722608056214150e-02
101	1.021325271672522267e-01
102	9.396192499387204244e-02
103	7.353541956042160266e-02
104	2.206062586812648219e-01
105	4.085301086690089345e-02
106	2.451180652014053538e-02
107	2.859710760683062403e-02
108	5.719421521366124805e-02
109	6.945011847373151748e-02
110	8.987662390718195726e-02
111	5.310891412697115593e-02
112	4.085301086690089345e-02
113	4.493831195359097863e-02
114	1.266443336873927517e-01
115	2.859710760683062403e-02
116	2.859710760683062403e-02
117	4.493831195359097863e-02
118	2.859710760683062403e-02
119	0.000000000000000000e+00
120	0.000000000000000000e+00
121	0.000000000000000000e+00
122	0.000000000000000000e+00
123	0.000000000000000000e+00
124	0.000000000000000000e+00
125	0.000000000000000000e+00
126	0.000000000000000000e+00
127	0.000000000000000000e+00
128	0.000000000000000000e+00
129	0.000000000000000000e+00
130	0.000000000000000000e+00
131	0.000000000000000000e+00
132	0.000000000000000000e+00
133	0.000000000000000000e+00
