# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	2.042650543345044672e-02
17	2.042650543345044672e-02
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	0.000000000000000000e+00
24	4.085301086690088651e-03
25	4.085301086690088651e-03
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	4.085301086690088651e-03
31	4.085301086690088651e-03
32	0.000000000000000000e+00
33	4.085301086690088651e-03
34	4.085301086690088651e-03
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	0.000000000000000000e+00
39	0.000000000000000000e+00
40	4.085301086690088651e-03
41	4.085301086690088651e-03
42	1.225590326007026769e-02
43	1.225590326007026769e-02
44	0.000000000000000000e+00
45	0.000000000000000000e+00
46	0.000000000000000000e+00
47	0.000000000000000000e+00
48	0.000000000000000000e+00
49	1.225590326007026769e-02
50	5.719421521366124805e-02
51	4.493831195359097863e-02
52	2.451180652014053538e-02
53	2.859710760683062403e-02
54	8.170602173380177302e-03
55	4.085301086690088651e-03
56	4.085301086690088651e-03
57	4.085301086690088651e-03
58	0.000000000000000000e+00
59	0.000000000000000000e+00
60	1.225590326007026769e-02
61	3.676770978021080133e-02
62	5.310891412697115593e-02
63	2.859710760683062403e-02
64	0.000000000000000000e+00
65	3.268240869352070921e-02
66	9.804722608056214150e-02
67	6.945011847373151748e-02
68	2.859710760683062403e-02
69	3.676770978021080133e-02
70	3.268240869352070921e-02
71	4.902361304028107075e-02
72	1.715826456409837442e-01
73	1.838385489010539997e-01
74	3.390799901952774031e-01
75	5.637715499632323102e-01
76	5.964539586567529916e-01
77	3.999509763869597112e+00
78	4.322248549718113786e+00
79	8.142005065773346928e+00
80	7.639513032110466284e+00
81	2.165209575945747089e-01
82	8.987662390718195726e-02
83	6.945011847373151748e-02
84	1.062178282539423119e-01
85	1.021325271672522267e-01
86	1.429855380341531201e-01
87	1.021325271672522267e-01
88	8.170602173380177302e-03
89	2.042650543345044672e-02
90	1.225590326007026769e-02
91	8.170602173380177302e-03
92	8.170602173380177302e-03
93	0.000000000000000000e+00
94	0.000000000000000000e+00
95	2.859710760683062403e-02
96	2.859710760683062403e-02
97	4.085301086690088651e-03
98	1.225590326007026769e-02
99	5.310891412697115593e-02
100	6.536481738704141842e-02
101	3.268240869352070921e-02
102	1.225590326007026769e-02
103	8.170602173380177302e-03
104	8.170602173380177302e-03
105	0.000000000000000000e+00
106	3.676770978021080133e-02
107	4.085301086690089345e-02
108	6.945011847373151748e-02
109	1.552414412942233757e-01
110	8.987662390718195726e-02
111	0.000000000000000000e+00
112	0.000000000000000000e+00
113	0.000000000000000000e+00
114	4.085301086690088651e-03
115	4.085301086690088651e-03
116	4.085301086690088651e-03
117	4.085301086690088651e-03
118	0.000000000000000000e+00
119	0.000000000000000000e+00
120	0.000000000000000000e+00
121	0.000000000000000000e+00
122	0.000000000000000000e+00
123	0.000000000000000000e+00
124	0.000000000000000000e+00
125	0.000000000000000000e+00
126	0.000000000000000000e+00
127	0.000000000000000000e+00
128	0.000000000000000000e+00
129	0.000000000000000000e+00
130	0.000000000000000000e+00
131	0.000000000000000000e+00
132	0.000000000000000000e+00
133	0.000000000000000000e+00
